date,same_day_covers,walk_in_covers,advance_covers,total_covers,avg_duration_covers_summary,advance_bookings,same_day_bookings,walk_in_bookings,total_bookings,avg_duration_bookings_summary,day_of_week,month,week_of_year,day_of_month,is_weekend
2024-01-30,0,9,46,55,118,12,0,4,16,115,Tuesday,1,5,30,0
2024-01-31,0,9,22,31,118,6,0,4,10,117,Wednesday,1,5,31,0
2024-02-01,0,12,27,39,117,9,0,5,14,116,Thursday,2,5,1,0
2024-02-02,0,29,52,81,110,18,0,13,31,109,Friday,2,5,2,0
2024-02-03,0,25,72,97,111,22,0,5,27,112,Saturday,2,5,3,1
2024-02-04,0,20,40,60,113,10,0,7,17,110,Sunday,2,5,4,1
2024-02-05,0,0,0,0,0,0,0,0,0,0,Monday,2,6,5,0
2024-02-06,0,22,22,44,112,9,0,8,17,113,Tuesday,2,6,6,0
2024-02-07,0,9,29,38,113,11,0,5,16,113,Wednesday,2,6,7,0
2024-02-08,0,22,22,44,116,8,0,7,15,114,Thursday,2,6,8,0
2024-02-09,0,14,55,69,113,13,0,3,16,111,Friday,2,6,9,0
2024-02-10,0,10,67,77,117,19,0,4,23,115,Saturday,2,6,10,1
2024-02-11,0,18,30,48,123,7,0,7,14,121,Sunday,2,6,11,1
2024-02-12,0,0,0,0,0,0,0,0,0,0,Monday,2,7,12,0
2024-02-13,0,16,21,37,118,9,0,6,15,118,Tuesday,2,7,13,0
2024-02-14,0,8,75,83,112,38,0,4,42,112,Wednesday,2,7,14,0
2024-02-15,0,30,31,61,119,13,0,8,21,118,Thursday,2,7,15,0
2024-02-16,0,18,67,85,110,25,0,6,31,110,Friday,2,7,16,0
2024-02-17,0,29,57,86,111,17,0,11,28,110,Saturday,2,7,17,1
2024-02-18,0,15,21,36,117,6,0,6,12,115,Sunday,2,7,18,1
2024-02-19,0,0,0,0,0,0,0,0,0,0,Monday,2,8,19,0
2024-02-20,0,12,23,35,119,11,0,5,16,119,Tuesday,2,8,20,0
2024-02-21,0,20,10,30,114,4,0,7,11,113,Wednesday,2,8,21,0
2024-02-22,0,3,32,35,120,11,0,2,13,120,Thursday,2,8,22,0
2024-02-23,0,11,36,47,110,14,0,3,17,109,Friday,2,8,23,0
2024-02-24,0,29,71,100,109,20,0,12,32,109,Saturday,2,8,24,1
2024-02-25,0,4,22,26,118,6,0,2,8,116,Sunday,2,8,25,1
2024-02-26,0,0,0,0,0,0,0,0,0,0,Monday,2,9,26,0
2024-02-27,0,4,9,13,120,3,0,2,5,120,Tuesday,2,9,27,0
2024-02-28,0,6,20,26,119,7,0,3,10,118,Wednesday,2,9,28,0
2024-02-29,0,8,20,28,118,6,0,3,9,117,Thursday,2,9,29,0
2024-03-01,0,45,28,73,113,12,0,16,28,114,Friday,3,9,1,0
2024-03-02,0,36,57,93,114,17,0,7,24,111,Saturday,3,9,2,1
2024-03-03,0,17,21,38,117,8,0,3,11,113,Sunday,3,9,3,1
2024-03-04,0,0,0,0,0,0,0,0,0,0,Monday,3,10,4,0
2024-03-05,0,17,11,28,120,4,0,5,9,120,Tuesday,3,10,5,0
2024-03-06,0,8,26,34,116,7,0,3,10,114,Wednesday,3,10,6,0
2024-03-07,0,11,12,23,111,5,0,6,11,109,Thursday,3,10,7,0
2024-03-08,0,30,51,81,110,17,0,7,24,108,Friday,3,10,8,0
2024-03-09,0,36,51,87,108,16,0,11,27,107,Saturday,3,10,9,1
2024-03-10,0,27,104,131,117,27,0,7,34,115,Sunday,3,10,10,1
2024-03-11,0,0,0,0,0,0,0,0,0,0,Monday,3,11,11,0
2024-03-12,0,4,13,17,84,4,0,2,6,90,Tuesday,3,11,12,0
2024-03-13,0,26,20,46,118,8,0,6,14,118,Wednesday,3,11,13,0
2024-03-14,0,17,36,53,118,13,0,8,21,118,Thursday,3,11,14,0
2024-03-15,0,7,38,45,115,14,0,3,17,114,Friday,3,11,15,0
2024-03-16,0,48,39,87,108,12,0,14,26,108,Saturday,3,11,16,1
2024-03-17,0,22,26,48,113,9,0,7,16,111,Sunday,3,11,17,1
2024-03-18,0,0,0,0,0,0,0,0,0,0,Monday,3,12,18,0
2024-03-19,0,12,25,37,114,10,0,6,16,112,Tuesday,3,12,19,0
2024-03-20,0,28,30,58,114,9,0,5,14,109,Wednesday,3,12,20,0
2024-03-21,0,7,46,53,117,14,0,4,18,115,Thursday,3,12,21,0
2024-03-22,0,38,39,77,112,17,0,15,32,111,Friday,3,12,22,0
2024-03-23,0,48,33,81,115,8,0,7,15,112,Saturday,3,12,23,1
2024-03-24,0,7,41,48,111,12,0,3,15,108,Sunday,3,12,24,1
2024-03-25,0,0,0,0,0,0,0,0,0,0,Monday,3,13,25,0
2024-03-26,0,3,18,21,120,5,0,2,7,120,Tuesday,3,13,26,0
2024-03-27,0,23,17,40,113,6,0,7,13,112,Wednesday,3,13,27,0
2024-03-28,0,15,43,58,119,13,0,6,19,118,Thursday,3,13,28,0
2024-03-29,0,9,41,50,112,10,0,4,14,109,Friday,3,13,29,0
2024-03-30,0,26,40,66,86,14,0,9,23,87,Saturday,3,13,30,1
2024-03-31,0,0,0,0,0,0,0,0,0,0,Sunday,3,13,31,1
2024-04-01,0,0,0,0,0,0,0,0,0,0,Monday,4,14,1,0
2024-04-02,0,10,20,30,113,6,0,4,10,112,Tuesday,4,14,2,0
2024-04-03,0,9,13,22,115,4,0,4,8,112,Wednesday,4,14,3,0
2024-04-04,0,18,17,35,108,8,0,7,15,108,Thursday,4,14,4,0
2024-04-05,0,38,28,66,192,9,0,4,13,124,Friday,4,14,5,0
2024-04-06,0,14,70,84,109,17,0,4,21,109,Saturday,4,14,6,1
2024-04-07,0,19,29,48,117,8,0,5,13,117,Sunday,4,14,7,1
2024-04-08,0,0,0,0,0,0,0,0,0,0,Monday,4,15,8,0
2024-04-09,0,11,9,20,104,3,0,6,9,103,Tuesday,4,15,9,0
2024-04-10,0,10,26,36,114,10,0,5,15,113,Wednesday,4,15,10,0
2024-04-11,0,13,27,40,117,9,0,6,15,116,Thursday,4,15,11,0
2024-04-12,0,28,31,59,115,13,0,8,21,114,Friday,4,15,12,0
2024-04-13,0,8,62,70,110,22,0,4,26,108,Saturday,4,15,13,1
2024-04-14,0,16,24,40,118,6,0,5,11,116,Sunday,4,15,14,1
2024-04-15,0,0,0,0,0,0,0,0,0,0,Monday,4,16,15,0
2024-04-16,0,6,14,20,117,4,0,3,7,116,Tuesday,4,16,16,0
2024-04-17,0,11,13,24,114,5,0,5,10,112,Wednesday,4,16,17,0
2024-04-18,0,14,37,51,118,13,0,5,18,117,Thursday,4,16,18,0
2024-04-19,0,24,52,76,111,20,0,6,26,110,Friday,4,16,19,0
2024-04-20,0,56,46,102,116,13,0,13,26,115,Saturday,4,16,20,1
2024-04-21,0,17,25,42,108,9,0,7,16,107,Sunday,4,16,21,1
2024-04-22,0,0,0,0,0,0,0,0,0,0,Monday,4,17,22,0
2024-04-23,0,9,26,35,114,9,0,3,12,115,Tuesday,4,17,23,0
2024-04-24,0,5,43,48,117,15,0,2,17,116,Wednesday,4,17,24,0
2024-04-25,0,24,21,45,117,9,0,5,14,115,Thursday,4,17,25,0
2024-04-26,0,18,47,65,100,16,0,8,24,99,Friday,4,17,26,0
2024-04-27,0,12,67,79,114,18,0,5,23,111,Saturday,4,17,27,1
2024-04-28,0,15,19,34,114,6,0,4,10,114,Sunday,4,17,28,1
2024-04-29,0,0,0,0,0,0,0,0,0,0,Monday,4,18,29,0
2024-04-30,0,9,7,16,110,3,0,4,7,109,Tuesday,4,18,30,0
2024-05-01,0,17,22,39,117,7,0,7,14,116,Wednesday,5,18,1,0
2024-05-02,0,7,15,22,112,6,0,3,9,112,Thursday,5,18,2,0
2024-05-03,0,30,36,66,110,15,0,9,24,107,Friday,5,18,3,0
2024-05-04,0,23,56,79,113,19,0,5,24,110,Saturday,5,18,4,1
2024-05-05,0,21,44,65,117,12,0,5,17,114,Sunday,5,18,5,1
2024-05-06,0,0,0,0,0,0,0,0,0,0,Monday,5,19,6,0
2024-05-07,0,9,4,13,118,2,0,4,6,115,Tuesday,5,19,7,0
2024-05-08,0,15,37,52,128,7,0,4,11,122,Wednesday,5,19,8,0
2024-05-09,0,12,23,35,128,7,0,3,10,124,Thursday,5,19,9,0
2024-05-10,0,14,56,70,113,14,0,6,20,112,Friday,5,19,10,0
2024-05-11,0,14,31,45,115,10,0,5,15,114,Saturday,5,19,11,1
2024-05-12,0,28,6,34,113,3,0,9,12,110,Sunday,5,19,12,1
2024-05-13,0,0,0,0,0,0,0,0,0,0,Monday,5,20,13,0
2024-05-14,0,10,16,26,113,6,0,4,10,114,Tuesday,5,20,14,0
2024-05-15,0,10,15,25,112,5,0,4,9,112,Wednesday,5,20,15,0
2024-05-16,0,8,20,28,116,7,0,4,11,115,Thursday,5,20,16,0
2024-05-17,0,14,33,47,115,14,0,5,19,114,Friday,5,20,17,0
2024-05-18,0,64,8,72,117,2,0,6,8,102,Saturday,5,20,18,1
2024-05-19,0,14,18,32,114,6,0,4,10,111,Sunday,5,20,19,1
2024-05-20,0,0,0,0,0,0,0,0,0,0,Monday,5,21,20,0
2024-05-21,0,8,38,46,118,7,0,4,11,116,Tuesday,5,21,21,0
2024-05-22,0,5,33,38,116,11,0,2,13,115,Wednesday,5,21,22,0
2024-05-23,0,23,37,60,116,10,0,8,18,115,Thursday,5,21,23,0
2024-05-24,0,8,33,41,106,12,0,3,15,104,Friday,5,21,24,0
2024-05-25,0,20,29,49,104,10,0,7,17,106,Saturday,5,21,25,1
2024-05-26,0,13,26,39,118,8,0,5,13,118,Sunday,5,21,26,1
2024-05-27,0,0,0,0,0,0,0,0,0,0,Monday,5,22,27,0
2024-05-28,0,3,5,8,105,3,0,1,4,105,Tuesday,5,22,28,0
2024-05-29,0,13,17,30,114,7,0,5,12,112,Wednesday,5,22,29,0
2024-05-30,0,12,19,31,110,6,0,5,11,108,Thursday,5,22,30,0
2024-05-31,0,12,45,57,107,14,0,5,19,107,Friday,5,22,31,0
2024-06-01,0,38,36,74,107,15,0,8,23,112,Saturday,6,22,1,1
2024-06-02,0,11,4,15,110,2,0,4,6,115,Sunday,6,22,2,1
2024-06-03,0,0,0,0,0,0,0,0,0,0,Monday,6,23,3,0
2024-06-04,0,0,11,11,120,3,0,0,3,120,Tuesday,6,23,4,0
2024-06-05,0,7,20,27,120,6,0,3,9,120,Wednesday,6,23,5,0
2024-06-06,0,12,40,52,111,14,0,2,16,110,Thursday,6,23,6,0
2024-06-07,0,32,29,61,114,11,0,9,20,112,Friday,6,23,7,0
2024-06-08,0,31,35,66,108,12,0,7,19,109,Saturday,6,23,8,1
2024-06-09,0,15,20,35,114,7,0,3,10,111,Sunday,6,23,9,1
2024-06-10,0,0,0,0,0,0,0,0,0,0,Monday,6,24,10,0
2024-06-11,0,18,28,46,125,9,0,5,14,120,Tuesday,6,24,11,0
2024-06-12,0,10,21,31,116,7,0,4,11,116,Wednesday,6,24,12,0
2024-06-13,0,17,21,38,133,7,0,4,11,123,Thursday,6,24,13,0
2024-06-14,0,7,40,47,105,14,0,3,17,106,Friday,6,24,14,0
2024-06-15,0,26,48,74,115,16,0,8,24,112,Saturday,6,24,15,1
2024-06-16,0,21,65,86,121,18,0,5,23,119,Sunday,6,24,16,1
2024-06-17,0,0,0,0,0,0,0,0,0,0,Monday,6,25,17,0
2024-06-18,0,8,12,20,117,5,0,4,9,117,Tuesday,6,25,18,0
2024-06-19,0,13,23,36,120,8,0,5,13,120,Wednesday,6,25,19,0
2024-06-20,0,4,22,26,120,5,0,2,7,120,Thursday,6,25,20,0
2024-06-21,0,11,44,55,107,16,0,3,19,106,Friday,6,25,21,0
2024-06-22,0,14,30,44,111,10,0,5,15,112,Saturday,6,25,22,1
2024-06-23,0,17,22,39,119,6,0,4,10,117,Sunday,6,25,23,1
2024-06-24,0,0,0,0,0,0,0,0,0,0,Monday,6,26,24,0
2024-06-25,0,6,3,9,120,1,0,2,3,120,Tuesday,6,26,25,0
2024-06-26,0,10,28,38,111,9,0,4,13,113,Wednesday,6,26,26,0
2024-06-27,0,3,4,7,111,2,0,2,4,109,Thursday,6,26,27,0
2024-06-28,0,2,51,53,114,16,0,1,17,113,Friday,6,26,28,0
2024-06-29,0,13,34,47,119,11,0,5,16,117,Saturday,6,26,29,1
2024-06-30,0,3,28,31,116,6,0,1,7,116,Sunday,6,26,30,1
2024-07-01,0,7,0,7,120,0,0,1,1,120,Monday,7,27,1,0
2024-07-02,0,28,24,52,116,8,0,10,18,114,Tuesday,7,27,2,0
2024-07-03,0,7,27,34,120,9,0,3,12,120,Wednesday,7,27,3,0
2024-07-04,0,11,40,51,108,13,0,5,18,108,Thursday,7,27,4,0
2024-07-05,0,18,33,51,116,12,0,9,21,114,Friday,7,27,5,0
2024-07-06,0,31,30,61,116,10,0,12,22,115,Saturday,7,27,6,1
2024-07-07,0,30,17,47,109,6,0,12,18,108,Sunday,7,27,7,1
2024-07-08,0,2,0,2,120,0,0,1,1,120,Monday,7,28,8,0
2024-07-09,0,10,17,27,109,5,0,6,11,105,Tuesday,7,28,9,0
2024-07-10,0,2,10,12,115,3,0,1,4,112,Wednesday,7,28,10,0
2024-07-11,0,8,25,33,116,8,0,4,12,115,Thursday,7,28,11,0
2024-07-12,0,15,43,58,112,13,0,7,20,110,Friday,7,28,12,0
2024-07-13,0,21,52,73,114,16,0,7,23,111,Saturday,7,28,13,1
2024-07-14,0,0,0,0,0,0,0,0,0,0,Sunday,7,28,14,1
2024-07-15,0,2,0,2,120,0,0,1,1,120,Monday,7,29,15,0
2024-07-16,0,3,22,25,119,9,0,2,11,117,Tuesday,7,29,16,0
2024-07-17,0,13,23,36,109,8,0,6,14,109,Wednesday,7,29,17,0
2024-07-18,0,10,20,30,118,8,0,5,13,118,Thursday,7,29,18,0
2024-07-19,0,3,46,49,116,13,0,2,15,114,Friday,7,29,19,0
2024-07-20,0,9,23,32,117,9,0,4,13,117,Saturday,7,29,20,1
2024-07-21,0,9,16,25,113,4,0,3,7,107,Sunday,7,29,21,1
2024-07-22,0,0,0,0,0,0,0,0,0,0,Monday,7,30,22,0
2024-07-23,0,19,15,34,112,7,0,7,14,111,Tuesday,7,30,23,0
2024-07-24,0,16,24,40,106,5,0,5,10,104,Wednesday,7,30,24,0
2024-07-25,0,13,15,28,112,6,0,6,12,110,Thursday,7,30,25,0
2024-07-26,0,13,34,47,117,10,0,5,15,115,Friday,7,30,26,0
2024-07-27,0,37,31,68,112,10,0,12,22,112,Saturday,7,30,27,1
2024-07-28,0,39,5,44,112,2,0,10,12,108,Sunday,7,30,28,1
2024-07-29,0,0,0,0,0,0,0,0,0,0,Monday,7,31,29,0
2024-07-30,0,0,20,20,114,8,0,0,8,116,Tuesday,7,31,30,0
2024-07-31,0,17,30,47,118,8,0,5,13,115,Wednesday,7,31,31,0
2024-08-01,0,17,23,40,117,7,0,7,14,116,Thursday,8,31,1,0
2024-08-02,0,26,19,45,116,7,0,10,17,114,Friday,8,31,2,0
2024-08-03,0,20,43,63,110,13,0,9,22,106,Saturday,8,31,3,1
2024-08-04,0,10,10,20,108,4,0,4,8,109,Sunday,8,31,4,1
2024-08-05,0,0,0,0,0,0,0,0,0,0,Monday,8,32,5,0
2024-08-06,0,0,0,0,0,0,0,0,0,0,Tuesday,8,32,6,0
2024-08-07,0,0,0,0,0,0,0,0,0,0,Wednesday,8,32,7,0
2024-08-08,0,0,0,0,0,0,0,0,0,0,Thursday,8,32,8,0
2024-08-09,0,0,0,0,0,0,0,0,0,0,Friday,8,32,9,0
2024-08-10,0,0,0,0,0,0,0,0,0,0,Saturday,8,32,10,1
2024-08-11,0,0,0,0,0,0,0,0,0,0,Sunday,8,32,11,1
2024-08-12,0,0,0,0,0,0,0,0,0,0,Monday,8,33,12,0
2024-08-13,0,7,25,32,117,8,0,3,11,116,Tuesday,8,33,13,0
2024-08-14,0,14,25,39,118,10,0,4,14,117,Wednesday,8,33,14,0
2024-08-15,0,14,22,36,112,6,0,6,12,108,Thursday,8,33,15,0
2024-08-16,0,5,38,43,118,14,0,1,15,116,Friday,8,33,16,0
2024-08-17,0,25,33,58,116,13,0,6,19,114,Saturday,8,33,17,1
2024-08-18,0,38,12,50,102,4,0,5,9,113,Sunday,8,33,18,1
2024-08-19,0,0,0,0,0,0,0,0,0,0,Monday,8,34,19,0
2024-08-20,0,4,13,17,120,5,0,2,7,120,Tuesday,8,34,20,0
2024-08-21,0,12,30,42,119,8,0,5,13,119,Wednesday,8,34,21,0
2024-08-22,0,7,29,36,113,9,0,4,13,113,Thursday,8,34,22,0
2024-08-23,0,10,24,34,115,10,0,5,15,114,Friday,8,34,23,0
2024-08-24,0,29,26,55,117,11,0,7,18,116,Saturday,8,34,24,1
2024-08-25,0,7,14,21,120,6,0,3,9,120,Sunday,8,34,25,1
2024-08-26,0,0,0,0,0,0,0,0,0,0,Monday,8,35,26,0
2024-08-27,0,9,9,18,120,3,0,4,7,120,Tuesday,8,35,27,0
2024-08-28,0,10,14,24,116,4,0,4,8,114,Wednesday,8,35,28,0
2024-08-29,0,7,10,17,118,3,0,3,6,118,Thursday,8,35,29,0
2024-08-30,0,15,37,52,112,12,0,6,18,112,Friday,8,35,30,0
2024-08-31,0,24,65,89,108,18,0,4,22,107,Saturday,8,35,31,1
2024-09-01,0,9,23,32,112,5,0,4,9,110,Sunday,9,35,1,1
2024-09-02,0,0,0,0,0,0,0,0,0,0,Monday,9,36,2,0
2024-09-03,0,12,26,38,115,10,0,5,15,114,Tuesday,9,36,3,0
2024-09-04,0,3,9,12,120,3,0,2,5,120,Wednesday,9,36,4,0
2024-09-05,0,15,24,39,118,6,0,5,11,117,Thursday,9,36,5,0
2024-09-06,0,25,30,55,113,10,0,10,20,111,Friday,9,36,6,0
2024-09-07,0,7,54,61,113,19,0,3,22,110,Saturday,9,36,7,1
2024-09-08,0,5,14,19,114,4,0,2,6,110,Sunday,9,36,8,1
2024-09-09,0,0,0,0,0,0,0,0,0,0,Monday,9,37,9,0
2024-09-10,0,5,6,11,128,3,0,2,5,129,Tuesday,9,37,10,0
2024-09-11,0,13,24,37,119,9,0,6,15,118,Wednesday,9,37,11,0
2024-09-12,0,8,19,27,112,8,0,3,11,112,Thursday,9,37,12,0
2024-09-13,0,20,32,52,115,14,0,9,23,115,Friday,9,37,13,0
2024-09-14,0,10,37,47,118,11,0,5,16,118,Saturday,9,37,14,1
2024-09-15,0,8,8,16,109,3,0,3,6,105,Sunday,9,37,15,1
2024-09-16,0,0,0,0,0,0,0,0,0,0,Monday,9,38,16,0
2024-09-17,0,16,21,37,116,6,0,6,12,112,Tuesday,9,38,17,0
2024-09-18,0,9,16,25,120,6,0,3,9,120,Wednesday,9,38,18,0
2024-09-19,0,10,15,25,115,3,0,5,8,112,Thursday,9,38,19,0
2024-09-20,0,7,50,57,113,13,0,3,16,109,Friday,9,38,20,0
2024-09-21,0,32,30,62,121,9,0,7,16,109,Saturday,9,38,21,1
2024-09-22,0,10,21,31,118,5,0,5,10,114,Sunday,9,38,22,1
2024-09-23,0,0,0,0,0,0,0,0,0,0,Monday,9,39,23,0
2024-09-24,0,3,14,17,115,6,0,2,8,114,Tuesday,9,39,24,0
2024-09-25,0,4,13,17,116,4,0,2,6,115,Wednesday,9,39,25,0
2024-09-26,0,17,11,28,118,5,0,7,12,118,Thursday,9,39,26,0
2024-09-27,0,15,46,61,114,16,0,7,23,112,Friday,9,39,27,0
2024-09-28,0,10,48,58,113,15,0,3,18,110,Saturday,9,39,28,1
2024-09-29,0,28,27,55,110,9,0,10,19,107,Sunday,9,39,29,1
2024-09-30,0,0,0,0,0,0,0,0,0,0,Monday,9,40,30,0
2024-10-01,0,13,10,23,120,4,0,5,9,120,Tuesday,10,40,1,0
2024-10-02,0,7,12,19,114,3,0,4,7,107,Wednesday,10,40,2,0
2024-10-03,0,17,17,34,120,8,0,5,13,120,Thursday,10,40,3,0
2024-10-04,0,16,43,59,106,13,0,4,17,101,Friday,10,40,4,0
2024-10-05,0,26,70,96,112,19,0,9,28,113,Saturday,10,40,5,1
2024-10-06,0,5,46,51,116,9,0,2,11,113,Sunday,10,40,6,1
2024-10-07,0,0,0,0,0,0,0,0,0,0,Monday,10,41,7,0
2024-10-08,0,5,14,19,120,5,0,2,7,120,Tuesday,10,41,8,0
2024-10-09,0,6,17,23,112,5,0,3,8,114,Wednesday,10,41,9,0
2024-10-10,0,15,14,29,109,5,0,4,9,113,Thursday,10,41,10,0
2024-10-11,0,34,58,92,112,21,0,9,30,110,Friday,10,41,11,0
2024-10-12,0,30,54,84,114,17,0,6,23,113,Saturday,10,41,12,1
2024-10-13,0,16,28,44,117,8,0,6,14,115,Sunday,10,41,13,1
2024-10-14,0,0,0,0,0,0,0,0,0,0,Monday,10,42,14,0
2024-10-15,0,6,27,33,115,10,0,3,13,113,Tuesday,10,42,15,0
2024-10-16,0,9,13,22,119,4,0,4,8,118,Wednesday,10,42,16,0
2024-10-17,0,22,29,51,103,9,0,4,13,110,Thursday,10,42,17,0
2024-10-18,0,3,51,54,108,18,0,2,20,107,Friday,10,42,18,0
2024-10-19,0,8,67,75,112,16,0,4,20,112,Saturday,10,42,19,1
2024-10-20,0,5,4,9,110,1,0,3,4,105,Sunday,10,42,20,1
2024-10-21,0,0,0,0,0,0,0,0,0,0,Monday,10,43,21,0
2024-10-22,0,7,12,19,115,3,0,3,6,112,Tuesday,10,43,22,0
2024-10-23,0,8,18,26,113,5,0,1,6,115,Wednesday,10,43,23,0
2024-10-24,0,8,38,46,112,13,0,3,16,115,Thursday,10,43,24,0
2024-10-25,0,18,20,38,118,6,0,6,12,118,Friday,10,43,25,0
2024-10-26,0,19,40,59,112,14,0,8,22,112,Saturday,10,43,26,1
2024-10-27,0,13,15,28,108,5,0,5,10,104,Sunday,10,43,27,1
2024-10-28,0,0,0,0,0,0,0,0,0,0,Monday,10,44,28,0
2024-10-29,0,9,15,24,119,5,0,4,9,118,Tuesday,10,44,29,0
2024-10-30,0,12,9,21,117,4,0,4,8,116,Wednesday,10,44,30,0
2024-10-31,0,4,39,43,117,11,0,2,13,115,Thursday,10,44,31,0
2024-11-01,0,13,46,59,113,13,0,4,17,113,Friday,11,44,1,0
2024-11-02,0,31,38,69,111,13,0,11,24,111,Saturday,11,44,2,1
2024-11-03,0,5,17,22,116,4,0,3,7,114,Sunday,11,44,3,1
2024-11-04,0,0,0,0,0,0,0,0,0,0,Monday,11,45,4,0
2024-11-05,0,17,35,52,119,10,0,7,17,118,Tuesday,11,45,5,0
2024-11-06,0,12,10,22,115,4,0,4,8,112,Wednesday,11,45,6,0
2024-11-07,0,42,7,49,118,3,0,10,13,118,Thursday,11,45,7,0
2024-11-08,0,23,51,74,108,16,0,8,24,106,Friday,11,45,8,0
2024-11-09,0,17,52,69,113,13,0,6,19,111,Saturday,11,45,9,1
2024-11-10,0,13,27,40,114,10,0,6,16,112,Sunday,11,45,10,1
2024-11-11,0,0,0,0,0,0,0,0,0,0,Monday,11,46,11,0
2024-11-12,0,15,7,22,115,3,0,6,9,113,Tuesday,11,46,12,0
2024-11-13,0,6,12,18,115,6,0,3,9,115,Wednesday,11,46,13,0
2024-11-14,0,12,12,24,102,5,0,4,9,110,Thursday,11,46,14,0
2024-11-15,0,17,52,69,108,18,0,6,24,108,Friday,11,46,15,0
2024-11-16,0,48,32,80,115,9,0,13,22,114,Saturday,11,46,16,1
2024-11-17,0,6,16,22,115,5,0,3,8,114,Sunday,11,46,17,1
2024-11-18,0,0,0,0,0,0,0,0,0,0,Monday,11,47,18,0
2024-11-19,0,25,7,32,118,3,0,8,11,115,Tuesday,11,47,19,0
2024-11-20,0,15,28,43,113,9,0,6,15,114,Wednesday,11,47,20,0
2024-11-21,0,11,13,24,118,4,0,4,8,118,Thursday,11,47,21,0
2024-11-22,0,9,48,57,113,13,0,4,17,113,Friday,11,47,22,0
2024-11-23,0,57,40,97,103,11,0,12,23,105,Saturday,11,47,23,1
2024-11-24,0,23,28,51,117,5,0,10,15,114,Sunday,11,47,24,1
2024-11-25,0,0,0,0,0,0,0,0,0,0,Monday,11,48,25,0
2024-11-26,0,10,10,20,117,3,0,5,8,116,Tuesday,11,48,26,0
2024-11-27,0,21,26,47,118,7,0,8,15,117,Wednesday,11,48,27,0
2024-11-28,0,5,14,19,114,6,0,2,8,113,Thursday,11,48,28,0
2024-11-29,0,40,19,59,113,8,0,6,14,109,Friday,11,48,29,0
2024-11-30,0,23,42,65,114,16,0,8,24,116,Saturday,11,48,30,1
2024-12-01,0,29,17,46,165,3,0,5,8,134,Sunday,12,48,1,1
2024-12-02,0,0,0,0,0,0,0,0,0,0,Monday,12,49,2,0
2024-12-03,0,5,0,5,120,0,0,2,2,120,Tuesday,12,49,3,0
2024-12-04,0,21,2,23,141,1,0,4,5,130,Wednesday,12,49,4,0
2024-12-05,0,17,15,32,119,5,0,5,10,119,Thursday,12,49,5,0
2024-12-06,0,29,40,69,143,12,0,7,19,119,Friday,12,49,6,0
2024-12-07,0,14,42,56,110,12,0,4,16,111,Saturday,12,49,7,1
2024-12-08,0,4,10,14,111,4,0,1,5,111,Sunday,12,49,8,1
2024-12-09,0,0,0,0,0,0,0,0,0,0,Monday,12,50,9,0
2024-12-10,0,7,21,28,115,5,0,4,9,112,Tuesday,12,50,10,0
