Grouping Type,Grouping Value,Advance Covers,Same Day Covers,Walk In Covers,Total Covers,Average Duration,Average Spend,Total Spend
Visit Date,09/04/2025,13,11,2,26,112,0,0
Visit Date,10/04/2025,25,13,4,42,116,0,0
Visit Date,11/04/2025,15,13,12,40,117,0,0
Visit Date,12/04/2025,16,13,12,41,111,0,0
Visit Date,13/04/2025,5,10,10,25,112,0,0
Visit Date,15/04/2025,5,4,10,19,111,0,0
Visit Date,16/04/2025,0,4,6,10,117,0,0
Visit Date,17/04/2025,30,2,8,40,111,0,0
Visit Date,18/04/2025,10,4,4,18,110,0,0
Visit Date,19/04/2025,6,14,7,27,117,0,0
Visit Date,22/04/2025,1,0,4,5,105,0,0
Visit Date,23/04/2025,17,2,6,25,122,0,0
Visit Date,24/04/2025,15,5,7,27,110,0,0
Visit Date,25/04/2025,48,9,2,59,115,0,0
Visit Date,26/04/2025,57,13,11,81,112,0,0
Visit Date,27/04/2025,0,0,14,15,92,0,0
Visit Date,29/04/2025,17,4,12,33,120,0,0
Visit Date,30/04/2025,25,3,8,36,115,0,0
Visit Date,01/05/2025,13,3,4,20,120,0,0
Visit Date,02/05/2025,31,17,5,53,114,0,0
Visit Date,03/05/2025,8,10,15,33,109,0,0
Visit Date,04/05/2025,34,12,6,54,102,0,0
Visit Date,07/05/2025,8,8,5,21,116,0,0
Visit Date,08/05/2025,8,3,7,18,117,0,0
Visit Date,09/05/2025,10,27,11,50,110,0,0
Visit Date,10/05/2025,20,30,5,55,111,0,0
Visit Date,11/05/2025,6,7,6,20,105,0,0
Visit Date,13/05/2025,20,0,3,23,118,0,0
Visit Date,14/05/2025,6,6,11,23,120,0,0
Visit Date,15/05/2025,0,10,5,17,99,0,0
Visit Date,16/05/2025,35,4,8,47,112,0,0
Visit Date,17/05/2025,32,17,0,49,114,0,0
Visit Date,18/05/2025,20,14,9,43,105,0,0
Visit Date,20/05/2025,3,0,6,9,116,0,0
Visit Date,21/05/2025,3,7,16,28,113,0,0
Visit Date,22/05/2025,13,15,8,36,116,0,0
Visit Date,23/05/2025,33,15,6,54,113,0,0
Visit Date,24/05/2025,30,21,18,69,108,0,0
Visit Date,25/05/2025,0,7,4,11,120,0,0
Visit Date,27/05/2025,6,13,3,22,111,0,0
Visit Date,28/05/2025,21,4,2,27,108,0,0
Visit Date,29/05/2025,11,2,16,29,112,0,0
Visit Date,30/05/2025,20,10,10,40,118,0,0
Visit Date,31/05/2025,12,23,2,37,111,0,0
Visit Date,01/06/2025,5,6,16,27,105,0,0
Visit Date,03/06/2025,23,0,7,30,112,0,0
Visit Date,04/06/2025,15,2,11,28,118,0,0
Visit Date,05/06/2025,43,0,4,47,116,0,0
Visit Date,06/06/2025,19,20,10,49,117,0,0
Visit Date,07/06/2025,19,19,17,61,106,0,0
Visit Date,08/06/2025,9,11,8,28,96,0,0
Visit Date,10/06/2025,4,5,2,11,112,0,0
Visit Date,11/06/2025,24,14,19,57,120,0,0
Visit Date,12/06/2025,5,5,9,19,118,0,0
Visit Date,13/06/2025,24,18,10,52,116,0,0
Visit Date,14/06/2025,20,16,4,40,114,0,0
Visit Date,15/06/2025,40,30,14,88,100,0,0
Visit Date,17/06/2025,12,4,12,28,120,0,0
Visit Date,18/06/2025,24,0,2,26,120,0,0
Visit Date,19/06/2025,8,3,11,22,116,0,0
Visit Date,20/06/2025,19,9,10,38,114,0,0
Visit Date,21/06/2025,35,10,0,45,109,0,0
Visit Date,22/06/2025,0,6,9,15,96,0,0
Visit Date,24/06/2025,4,7,10,21,120,0,0
Visit Date,25/06/2025,8,5,7,20,118,0,0
Visit Date,26/06/2025,4,2,13,19,118,0,0
Visit Date,27/06/2025,12,13,14,39,114,0,0
Visit Date,28/06/2025,17,6,16,39,107,0,0
Visit Date,29/06/2025,10,6,13,29,118,0,0
Visit Date,01/07/2025,9,0,18,27,118,0,0
Visit Date,02/07/2025,5,3,7,15,115,0,0
Visit Date,03/07/2025,2,4,6,12,117,0,0
Visit Date,04/07/2025,45,4,13,62,110,0,0
Visit Date,05/07/2025,17,18,11,46,110,0,0
Visit Date,06/07/2025,18,15,7,42,96,0,0
Visit Date,08/07/2025,36,17,0,53,108,0,0
Visit Date,09/07/2025,27,2,8,37,120,0,0
Visit Date,10/07/2025,38,9,6,53,116,0,0
Visit Date,11/07/2025,8,7,1,16,120,0,0
Visit Date,12/07/2025,24,21,0,47,110,0,0
Visit Date,13/07/2025,3,6,14,23,112,0,0
Visit Date,15/07/2025,63,0,8,71,115,0,0
Visit Date,16/07/2025,23,6,1,30,112,0,0
Visit Date,17/07/2025,2,6,7,15,120,0,0
Visit Date,18/07/2025,26,13,3,42,114,0,0
Visit Date,19/07/2025,35,13,2,50,112,0,0
Visit Date,20/07/2025,10,10,4,24,112,0,0
Visit Date,22/07/2025,4,8,9,21,110,0,0
Visit Date,23/07/2025,13,17,7,37,114,0,0
Visit Date,24/07/2025,6,6,7,19,108,0,0
Visit Date,25/07/2025,17,14,8,39,124,0,0
Visit Date,26/07/2025,34,23,13,70,115,0,0
Visit Date,27/07/2025,6,12,4,24,115,0,0
Visit Date,29/07/2025,21,2,16,39,115,0,0
Visit Date,30/07/2025,31,2,13,46,120,0,0
Visit Date,31/07/2025,16,8,15,39,114,0,0
Visit Date,01/08/2025,7,18,20,45,117,0,0
Visit Date,02/08/2025,23,19,17,59,104,0,0
Visit Date,03/08/2025,13,11,7,31,108,0,0
Visit Date,05/08/2025,0,6,9,15,114,0,0
Visit Date,06/08/2025,14,2,11,27,120,0,0
Visit Date,07/08/2025,13,4,0,17,120,0,0
Visit Date,08/08/2025,16,26,8,50,117,0,0
Visit Date,09/08/2025,9,10,13,32,110,0,0
Visit Date,10/08/2025,21,6,0,27,96,0,0
Visit Date,12/08/2025,2,2,4,8,120,0,0
Visit Date,13/08/2025,6,10,2,18,120,0,0
Visit Date,14/08/2025,9,14,4,27,112,0,0
Visit Date,15/08/2025,21,8,16,45,117,0,0
Visit Date,16/08/2025,13,13,4,30,117,0,0
Visit Date,17/08/2025,6,3,2,11,112,0,0
Visit Date,19/08/2025,6,6,10,22,113,0,0
Visit Date,20/08/2025,8,4,12,24,117,0,0
Visit Date,21/08/2025,3,5,2,10,120,0,0
Visit Date,22/08/2025,22,10,2,34,117,0,0
Visit Date,23/08/2025,12,7,10,29,110,0,0
Visit Date,24/08/2025,6,7,5,18,117,0,0
Visit Date,26/08/2025,2,3,2,7,120,0,0
Visit Date,27/08/2025,0,4,13,17,120,0,0
Visit Date,28/08/2025,14,11,7,33,113,0,0
Visit Date,29/08/2025,12,10,26,48,111,0,0
Visit Date,30/08/2025,22,9,13,44,116,0,0
Visit Date,31/08/2025,7,2,7,16,112,0,0
Visit Date,02/09/2025,10,0,0,10,120,0,0
Visit Date,03/09/2025,5,0,4,9,110,0,0
Visit Date,04/09/2025,7,11,12,30,115,0,0
Visit Date,05/09/2025,24,19,7,54,113,0,0
Visit Date,06/09/2025,33,26,7,66,107,0,0
Visit Date,07/09/2025,2,0,13,15,107,0,0
Visit Date,09/09/2025,16,8,6,30,117,0,0
Visit Date,10/09/2025,14,2,4,20,120,0,0
Visit Date,11/09/2025,28,0,6,34,121,0,0
Visit Date,12/09/2025,32,16,12,60,116,0,0
Visit Date,13/09/2025,29,17,14,63,109,0,0
Visit Date,14/09/2025,14,3,3,20,110,0,0
Visit Date,16/09/2025,10,8,2,20,115,0,0
Visit Date,17/09/2025,19,11,7,37,128,0,0
Visit Date,18/09/2025,4,6,6,18,120,0,0
Visit Date,19/09/2025,37,6,7,52,113,0,0
Visit Date,20/09/2025,19,26,0,57,114,0,0
Visit Date,21/09/2025,8,4,3,15,108,0,0
Visit Date,23/09/2025,6,3,7,18,109,0,0
Visit Date,24/09/2025,13,2,5,20,120,0,0
Visit Date,25/09/2025,11,8,3,22,114,0,0
Visit Date,26/09/2025,25,14,0,39,120,0,0
Visit Date,27/09/2025,14,18,6,38,115,0,0
Visit Date,28/09/2025,26,16,9,51,100,0,0
Visit Date,30/09/2025,10,6,1,17,115,0,0
Visit Date,01/10/2025,8,7,10,25,112,0,0
Visit Date,02/10/2025,18,10,6,34,111,0,0
Visit Date,03/10/2025,7,15,6,28,120,0,0
Visit Date,04/10/2025,53,9,4,66,109,0,0
Visit Date,05/10/2025,2,6,2,10,110,0,0
Visit Date,07/10/2025,9,2,4,15,114,0,0
Visit Date,08/10/2025,10,17,15,42,117,0,0
Visit Date,09/10/2025,19,11,6,36,107,0,0
Visit Date,10/10/2025,29,22,4,55,115,0,0
Visit Date,11/10/2025,30,13,21,64,114,0,0
Visit Date,12/10/2025,4,0,7,11,105,0,0
Visit Date,14/10/2025,7,0,3,10,120,0,0
Visit Date,15/10/2025,8,0,2,10,120,0,0
Visit Date,16/10/2025,10,4,3,17,120,0,0
Visit Date,17/10/2025,15,14,13,42,113,0,0
Visit Date,18/10/2025,9,7,5,21,120,0,0
Visit Date,19/10/2025,4,6,10,20,117,0,0
Visit Date,21/10/2025,3,6,4,13,117,0,0
Visit Date,22/10/2025,9,2,7,18,120,0,0
Visit Date,23/10/2025,2,12,9,23,117,0,0
Visit Date,24/10/2025,19,18,14,51,120,0,0
Visit Date,25/10/2025,29,23,22,74,102,0,0
Visit Date,26/10/2025,0,2,6,8,95,0,0
Visit Date,28/10/2025,18,4,4,26,111,0,0
Visit Date,29/10/2025,4,9,4,17,120,0,0
Visit Date,30/10/2025,4,10,7,21,110,0,0
Visit Date,31/10/2025,22,19,4,49,118,0,0
Visit Date,01/11/2025,16,4,10,30,114,0,0
Visit Date,02/11/2025,13,8,15,36,102,0,0
Visit Date,04/11/2025,10,0,6,16,112,0,0
Visit Date,05/11/2025,5,0,2,7,120,0,0
Visit Date,06/11/2025,2,2,11,15,120,0,0
Visit Date,07/11/2025,37,17,9,63,111,0,0
Visit Date,08/11/2025,66,4,0,72,110,0,0
Visit Date,09/11/2025,16,6,3,25,98,0,0
Visit Date,11/11/2025,22,6,13,41,120,0,0
Visit Date,12/11/2025,0,3,8,11,120,0,0
Visit Date,13/11/2025,7,4,13,24,117,0,0
Visit Date,14/11/2025,34,14,13,61,115,0,0
Visit Date,15/11/2025,46,8,12,73,96,0,0
Visit Date,16/11/2025,15,4,1,20,95,0,0
Visit Date,18/11/2025,2,8,13,23,116,0,0
Visit Date,19/11/2025,5,9,2,16,113,0,0
Visit Date,20/11/2025,28,4,10,42,118,0,0
Visit Date,21/11/2025,22,6,2,30,120,0,0
Visit Date,22/11/2025,17,24,3,44,115,0,0
Visit Date,23/11/2025,0,9,22,31,100,0,0
Visit Date,25/11/2025,9,7,9,25,116,0,0
Visit Date,26/11/2025,12,3,5,20,111,0,0
Visit Date,27/11/2025,17,8,0,25,114,0,0
Visit Date,28/11/2025,14,22,8,44,115,0,0
Visit Date,29/11/2025,13,14,6,33,111,0,0
Visit Date,30/11/2025,5,11,7,23,98,0,0
Visit Date,02/12/2025,2,0,2,4,112,0,0
Visit Date,03/12/2025,6,2,5,13,120,0,0
Visit Date,04/12/2025,10,10,0,20,112,0,0
Visit Date,05/12/2025,14,14,8,36,110,0,0
Visit Date,06/12/2025,33,14,11,58,111,0,0
Visit Date,07/12/2025,8,13,4,27,105,0,0
Visit Date,09/12/2025,6,9,11,26,110,0,0
Visit Date,10/12/2025,5,4,13,22,113,0,0
Visit Date,11/12/2025,43,3,4,50,106,0,0
Visit Date,12/12/2025,62,14,12,88,119,0,0
Visit Date,13/12/2025,16,20,8,44,110,0,0
Visit Date,14/12/2025,2,11,4,17,100,0,0
Visit Date,16/12/2025,4,0,18,22,103,0,0
Visit Date,17/12/2025,24,0,0,24,120,0,0
Visit Date,18/12/2025,21,0,4,25,115,0,0
Visit Date,19/12/2025,2,16,4,22,115,0,0
Visit Date,20/12/2025,32,17,13,62,109,0,0
Visit Date,30/12/2025,7,9,0,16,120,0,0
Visit Date,31/12/2025,64,18,8,90,116,0,0
