date,covers,avg_duration_min,day_of_week
28/08/2025,23,120,Thursday
30/08/2025,16,120,Saturday
31/08/2025,13,120,Sunday
01/09/2025,42,120,Monday
02/09/2025,75,120,Tuesday
03/09/2025,89,120,Wednesday
04/09/2025,21,120,Thursday
06/09/2025,48,120,Saturday
07/09/2025,29,120,Sunday
08/09/2025,47,120,Monday
09/09/2025,84,120,Tuesday
10/09/2025,86,120,Wednesday
11/09/2025,26,120,Thursday
13/09/2025,31,120,Saturday
14/09/2025,54,120,Sunday
15/09/2025,27,120,Monday
16/09/2025,73,120,Tuesday
17/09/2025,78,120,Wednesday
18/09/2025,19,120,Thursday
20/09/2025,28,120,Saturday
21/09/2025,27,120,Sunday
22/09/2025,30,120,Monday
23/09/2025,53,120,Tuesday
24/09/2025,52,120,Wednesday
25/09/2025,68,90,Thursday
27/09/2025,28,120,Saturday
28/09/2025,35,120,Sunday
29/09/2025,47,120,Monday
30/09/2025,40,120,Tuesday
01/10/2025,89,120,Wednesday
02/10/2025,14,120,Thursday
04/10/2025,23,120,Saturday
05/10/2025,60,120,Sunday
06/10/2025,48,120,Monday
07/10/2025,77,120,Tuesday
08/10/2025,87,120,Wednesday
09/10/2025,15,90,Thursday
11/10/2025,16,120,Saturday
12/10/2025,15,120,Sunday
13/10/2025,25,120,Monday
14/10/2025,62,120,Tuesday
15/10/2025,29,120,Wednesday
16/10/2025,28,120,Thursday
18/10/2025,21,120,Saturday
19/10/2025,24,120,Sunday
20/10/2025,33,120,Monday
21/10/2025,72,120,Tuesday
22/10/2025,101,90,Wednesday
23/10/2025,11,90,Thursday
25/10/2025,40,120,Saturday
26/10/2025,24,120,Sunday
27/10/2025,29,120,Monday
28/10/2025,68,120,Tuesday
29/10/2025,42,120,Wednesday
30/10/2025,50,90,Thursday
01/11/2025,25,120,Saturday
02/11/2025,10,120,Sunday
03/11/2025,21,120,Monday
04/11/2025,86,120,Tuesday
05/11/2025,97,120,Wednesday
06/11/2025,32,90,Thursday
08/11/2025,65,120,Saturday
09/11/2025,16,120,Sunday
10/11/2025,35,120,Monday
11/11/2025,85,120,Tuesday
12/11/2025,98,90,Wednesday
13/11/2025,27,90,Thursday
15/11/2025,36,120,Saturday
16/11/2025,23,120,Sunday
17/11/2025,58,120,Monday
18/11/2025,43,120,Tuesday
19/11/2025,60,120,Wednesday
20/11/2025,43,90,Thursday
22/11/2025,39,120,Saturday
23/11/2025,28,120,Sunday
24/11/2025,33,120,Monday
25/11/2025,61,120,Tuesday
26/11/2025,45,120,Wednesday
27/11/2025,31,90,Thursday
29/11/2025,6,120,Saturday
30/11/2025,18,120,Sunday
01/12/2025,26,120,Monday
02/12/2025,49,120,Tuesday
03/12/2025,78,120,Wednesday
04/12/2025,38,90,Thursday
06/12/2025,41,120,Saturday
07/12/2025,32,120,Sunday
08/12/2025,68,120,Monday
09/12/2025,118,120,Tuesday
10/12/2025,60,120,Wednesday
11/12/2025,23,90,Thursday
13/12/2025,34,90,Saturday
14/12/2025,33,120,Sunday
15/12/2025,33,120,Monday
16/12/2025,31,120,Tuesday
17/12/2025,86,120,Wednesday
27/12/2025,25,120,Saturday
28/12/2025,131,120,Sunday
29/12/2025,0,120,Monday
