Grouping Type,Grouping Value,Advance Bookings,Same Day Bookings,Walk In Bookings,Total Bookings,Average Duration,Average Spend,Total Spend
Visit Date,28/10/2025,3,2,2,7,111,0,0
Visit Date,29/10/2025,2,3,2,7,120,0,0
Visit Date,30/10/2025,1,4,3,8,110,0,0
Visit Date,31/10/2025,10,8,1,20,118,0,0
Visit Date,01/11/2025,3,2,5,10,114,0,0
Visit Date,02/11/2025,4,3,5,12,102,0,0
Visit Date,04/11/2025,1,0,3,4,112,0,0
Visit Date,05/11/2025,2,0,1,3,120,0,0
Visit Date,06/11/2025,1,1,4,6,120,0,0
Visit Date,07/11/2025,10,6,4,20,111,0,0
Visit Date,08/11/2025,12,2,0,15,110,0,0
Visit Date,09/11/2025,3,2,2,7,98,0,0
Visit Date,11/11/2025,3,1,6,10,120,0,0
Visit Date,12/11/2025,0,1,3,4,120,0,0
Visit Date,13/11/2025,3,2,5,10,117,0,0
Visit Date,14/11/2025,11,6,6,23,115,0,0
Visit Date,15/11/2025,7,2,4,17,96,0,0
Visit Date,16/11/2025,3,2,1,6,95,0,0
Visit Date,18/11/2025,1,4,7,12,116,0,0
Visit Date,19/11/2025,2,4,1,7,113,0,0
Visit Date,20/11/2025,9,2,4,15,118,0,0
Visit Date,21/11/2025,6,3,1,10,120,0,0
Visit Date,22/11/2025,4,8,1,13,115,0,0
Visit Date,23/11/2025,0,3,7,10,100,0,0
Visit Date,25/11/2025,3,2,4,9,116,0,0
Visit Date,26/11/2025,3,1,3,7,111,0,0
Visit Date,27/11/2025,2,3,0,5,114,0,0
Visit Date,28/11/2025,4,9,3,16,115,0,0
Visit Date,29/11/2025,4,5,2,11,111,0,0
Visit Date,30/11/2025,1,2,4,7,98,0,0
Visit Date,02/12/2025,1,0,1,2,112,0,0
Visit Date,03/12/2025,1,1,2,4,120,0,0
Visit Date,04/12/2025,2,2,0,4,112,0,0
Visit Date,05/12/2025,3,5,3,11,110,0,0
Visit Date,06/12/2025,6,6,4,16,111,0,0
Visit Date,07/12/2025,4,4,1,10,105,0,0
Visit Date,09/12/2025,2,3,4,9,110,0,0
Visit Date,10/12/2025,2,1,6,9,113,0,0
Visit Date,11/12/2025,7,1,2,10,106,0,0
Visit Date,12/12/2025,12,5,5,22,119,0,0
Visit Date,13/12/2025,3,6,3,12,110,0,0
Visit Date,14/12/2025,1,4,2,7,100,0,0
Visit Date,16/12/2025,1,0,7,8,103,0,0
Visit Date,17/12/2025,7,0,0,7,120,0,0
Visit Date,18/12/2025,5,0,2,7,115,0,0
Visit Date,19/12/2025,1,7,2,10,115,0,0
Visit Date,20/12/2025,7,7,5,19,109,0,0
Visit Date,30/12/2025,2,3,0,5,120,0,0
Visit Date,31/12/2025,19,9,2,30,116,0,0
